property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Villa,2 B/R,Existing Properties,Madinat Al Mataar,1137.936640654032,126,27.900638733101047,27.900638733101047,45.28217980980696,86.78955097519844,1.5029457737164844,44.450326371225614
Villa,5 B/R,Off-Plan Properties,Madinat Al Mataar,863.1073485693051,549,14.926148358154244,14.926148358154244,39.06556095674348,91.67283729373898,6.588914271973067,44.44585842521371
Villa,2 B/R,Off-Plan Properties,Madinat Al Mataar,707.876254180602,183,,,38.972589541993,94.43105085129068,2.1882890465312013,44.356008881490645
Villa,3 B/R,Off-Plan Properties,Dubai Investment Park First,642.4930323299889,16,,,38.972589541993,95.59280835647964,0.18035349284597813,44.30294902231029
Villa,5 B/R,Off-Plan Properties,Al Goze Fourth,654.107209215905,34,,,38.972589541993,95.38644261337457,0.39677768426115184,44.284324137661805
Villa,6 B/R,Off-Plan Properties,Al Goze Fourth,640.0464511334077,1,,,38.972589541993,95.63628027460683,0.0,44.27991989917925
Villa,5 B/R,Off-Plan Properties,Wadi Al Safa 7,644.4764957264958,10,,,38.972589541993,95.55756531672206,0.10821209570758687,44.277947830955334
Villa,3 B/R,Off-Plan Properties,Saih Shuaib 2,689.7898086213304,75,,,38.972589541993,94.75241867740796,0.8897438980401587,44.19271019962762
Villa,4 B/R,Off-Plan Properties,Al Hebiah Fifth,1199.7607766629508,75,28.587644103386456,28.587644103386456,45.61135270320391,85.6910328542302,0.8897438980401587,44.129799717158654
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 2,679.9605165366036,8,,,38.972589541993,94.92706981155084,0.08416496332812312,44.083989752928076
Villa,3 B/R,Existing Properties,Jabal Ali First,883.9367335562988,220,17.72488083638015,17.72488083638015,40.40655028164338,91.30273172762908,2.6331609955512807,44.080071830056326
Villa,2 B/R,Off-Plan Properties,Al Barsha South Fourth,699.2632850241546,11,,,38.972589541993,94.58408983095927,0.12023566189731874,43.98830989846445
Villa,4 B/R,Existing Properties,Al Barsha South Fourth,1002.3625046451134,744,13.720150967395297,13.720150967395297,38.48771736524379,89.19849115220185,8.933509678970783,43.94133622755223
Villa,3 B/R,Existing Properties,Dubai Investment Park First,913.6752136752136,435,,,38.972589541993,90.7743254868048,5.218227726343634,43.86497900810736
Villa,2 B/R,Off-Plan Properties,Saih Shuaib 2,744.93961352657,39,,,38.972589541993,93.772492972542,0.45689551520981125,43.81216281160176
Villa,3 B/R,Existing Properties,Hadaeq Sheikh Mohammed Bin Rashid,1192.044778892605,974,15.344278496754182,15.344278496754182,39.265904525356675,85.82813405643466,11.698929902609114,43.794588007594896
Villa,5 B/R,Off-Plan Properties,Wadi Al Safa 4,1246.031679672984,28,28.15091457450553,28.15091457450553,45.40209739186057,84.86887133752495,0.3246362871227606,43.68642761542626
Villa,1 B/R,Off-Plan Properties,Wadi Al Safa 3,757.9050538833148,3,,,38.972589541993,93.54211739274963,0.024047132379463747,43.656480461097985
Villa,4 B/R,Existing Properties,Jabal Ali First,853.2492567818656,218,14.131335147230107,14.131335147230107,38.68473283564549,91.84800015351769,2.609113863171817,43.55011595294787
Villa,5 B/R,Off-Plan Properties,Wadi Al Safa 5,1061.7400594574508,99,20.273643621331612,20.273643621331612,41.62776871281285,88.14344494936083,1.1783094865937238,43.329802867252134
Villa,2 B/R,Existing Properties,Wadi Al Safa 5,779.7493961352657,345,9.173958571548924,9.173958571548924,36.3094471950146,93.15397762479657,4.136106769267765,43.29719351929836
