property_type_en,rooms_en,reg_type_en,area_name_en,median_price_sqft,transaction_count,growth_2023_to_2024,recent_growth,growth_score,price_score,volume_score,investment_score
Apartment,5 B/R,Existing Properties,Burj Khalifa,3237.9487179487182,23,93.80810382925677,93.80810382925677,76.86119202793155,77.51857779284515,0.11317454601574155,54.022685058229314
Villa,2 B/R,Existing Properties,Al Thanayah Fourth,647.5106837606838,5582,31.58880275391329,31.58880275391329,47.04933284028318,97.6312103673903,28.710324605175163,53.85116116736539
Apartment,Studio,Off-Plan Properties,Al Barsha South Fourth,1088.8254830917872,11456,5.129369118913485,5.129369118913485,34.37151589154648,94.20476190905542,58.92792839137816,53.79562060761085
Apartment,1 B/R,Off-Plan Properties,Business Bay,1714.0057134894096,13750,-0.3940774919812373,-0.3940774919812373,31.725002514691127,89.35074876498183,70.7289469622923,53.64101502782946
Apartment,PENTHOUSE,Existing Properties,Al Thanyah Fifth,718.4766350798959,46,60.01413281721453,60.01413281721453,60.6690926666336,97.08021779958939,0.23149338957765317,53.43800108444579
Apartment,1 B/R,Off-Plan Properties,Marsa Dubai,1704.0294035674474,12339,5.907466919528259,5.907466919528259,34.74433496320492,89.42820665174156,63.47034312464633,53.4202646057337
Apartment,1 B/R,Existing Properties,Nadd Hessa,645.2863712374582,7936,16.55751469353486,16.55751469353486,39.84721653038845,97.64848033483216,40.82000102885951,53.39743091837693
Apartment,1 B/R,Existing Properties,Business Bay,1194.1164994425865,10134,8.48334260082224,8.48334260082224,35.97854431252941,93.38726328630692,52.12716703534132,52.8330301179721
Apartment,Studio,Existing Properties,Al Barsha South Fourth,853.7290969899666,7323,19.243559465871066,19.243559465871066,41.134212480851474,96.03009305802128,37.66654663305726,52.796022236358425
Apartment,1 B/R,Existing Properties,Al Hebiah Fourth,675.2554812337421,7446,15.279976001531193,15.279976001531193,39.23509452106748,97.41579470792801,38.29929523123617,52.57863526705263
Apartment,Studio,Existing Properties,Al Hebiah Fourth,818.0829617242662,5952,21.91235884208205,21.91235884208205,42.41294544359146,96.3068561428122,30.61371469725809,51.97997795973186
Apartment,2 B/R,Existing Properties,Al Thanyah Fifth,909.0440356744706,6893,16.69951807988943,16.69951807988943,39.91525626862089,95.60061780211397,35.454498688204126,51.737187585723376
Villa,2 B/R,Off-Plan Properties,Wadi Al Safa 2,840.2842809364548,410,49.71530666171356,49.71530666171356,55.73449600869179,96.13448105794555,2.1040176963835586,51.55494626013709
Apartment,2 B/R,Off-Plan Properties,Marsa Dubai,1725.1950947603125,10670,3.1115263761014145,3.1115263761014145,33.40468337057863,89.26387237138815,54.88451052008848,51.117937163665594
Apartment,4 B/R,Existing Properties,Al Hebiah First,666.9625603864735,52,46.45091028830453,46.45091028830453,54.170387712153804,97.48018245539373,0.2623591748546736,50.96468165645058
Apartment,1 B/R,Off-Plan Properties,Al Merkadh,1488.8294314381274,10138,1.221134476574437,1.221134476574437,32.49891785820289,91.0990584198079,52.147744225526004,50.75883351432873
Apartment,3 B/R,Existing Properties,Al Hebiah First,739.0249907097733,147,44.90741256870199,44.90741256870199,53.430833652915396,96.9206766249539,0.7510674417408303,50.5987499370005
Apartment,Studio,Existing Properties,Dubai Investment Park Second,673.373281308064,537,41.33199809072785,41.33199809072785,51.717703625534156,97.43040845086931,2.7573434847471576,50.46767268242389
Villa,3 B/R,Off-Plan Properties,Wadi Al Safa 5,942.833519137867,6134,13.840736321648384,13.840736321648384,38.54549483202588,95.3382700999826,31.549976850661043,50.32967433293734
Apartment,1 B/R,Existing Properties,Burj Khalifa,1611.7695559271647,8093,11.240973465274063,11.240973465274063,37.299840141985925,90.14452890785535,41.62765574360821,50.28882587787262
Apartment,Studio,Existing Properties,Me'Aisem First,881.5798030471944,4785,19.99993856003146,19.99993856003146,41.49662521545106,95.81385510502726,24.610319460877616,50.264870509864124
Apartment,1 B/R,Existing Properties,Wadi Al Safa 2,577.0111018208844,2945,25.239027503974864,25.239027503974864,44.006890987791934,98.17858195841106,15.144811975924688,50.08529337782503
Apartment,2 B/R,Existing Properties,Al Barsha South Fourth,682.2310479375697,4687,15.693598369251394,15.693598369251394,39.43327822885944,97.36163513790098,24.10617830135295,49.80303749318466
Villa,4 B/R,Off-Plan Properties,Madinat Al Mataar,657.5534188034188,3011,24.23529784470466,24.23529784470466,43.52596229287787,97.55323674389794,15.484335613971911,49.77322306311491
